Group,GEOID,ALAND20,AWATER20,Lat,Long,Shape_Leng,Shape_Length,Shape_Area
424,53033031707,3703354,19146,47.3804384,-122.1546595,27995.52495,27995.52495,40070499.93
425,53033031708,3437397,623236,47.3646051,-122.148026,28025.12321,28025.12321,43710595.88
426,53033031709,2145617,17381,47.3671678,-122.1216212,21269.01746,21269.01746,23283509.06
427,53033031710,2038633,0,47.3611079,-122.1118518,23741.65217,23741.65217,21944852.42
428,53033031800,24906521,3267355,47.4085335,-122.1178188,78482.05114,78482.05114,303271030.7
429,53033031904,18890095,168049,47.4681599,-122.062609,71992.53684,71992.53684,205142080.1
430,53033031906,10565748,589118,47.4368923,-122.0929679,50950.76443,50950.76443,120072016.1
431,53033031908,1827093,0,47.4471071,-122.1427639,21565.91455,21565.91455,19667012.15
432,53033031909,1916061,0,47.4378388,-122.1434771,27217.01626,27217.01626,20624711.62
433,53033031910,3322022,0,47.4583518,-122.1374379,29998.06458,29998.06458,35758379.94
434,53033031911,2397112,0,47.4464533,-122.1201591,23627.15835,23627.15835,25802739.15
435,53033031912,7672904,0,47.4879638,-122.1052429,53542.14467,53542.14467,82590525.35
436,53033031913,4071514,0,47.4712497,-122.1214769,36672.80637,36672.80637,43825742.24
437,53033032002,27565794,180822,47.4207619,-122.0475285,93216.77662,93216.77662,298668691.8
438,53033032003,121672955,304929,47.4409399,-121.9259862,199617.2034,199617.2034,1312993681
439,53033032005,6258304,123230,47.3733054,-122.0848083,41672.78377,41672.78377,68693552.92
440,53033032006,7614212,122944,47.3499202,-122.0803474,45847.75386,45847.75386,83286987.68
441,53033032007,11642036,143682,47.3911627,-122.0736583,68653.94339,68653.94339,126865406
442,53033032008,2292972,157783,47.3645060,-122.0492466,24772.00826,24772.00826,26381057.01
443,53033032010,5282446,0,47.3791911,-122.0247031,49033.91099,49033.91099,56862371.74
444,53033032011,3321208,280902,47.3671108,-122.030164,27701.59448,27701.59448,38774789.5
445,53033032102,79709009,90596,47.4851507,-121.9657839,131282.2363,131282.2363,858954421.5
446,53033032103,3987303,0,47.5385933,-122.0479034,38239.70006,38239.70006,42918171.04
447,53033032104,22279675,0,47.5049542,-122.0533488,68335.12001,68335.12001,239814780.4
