OBJECTID,GEO_ID_TRT,TRACT_LBL,E19019181,M19019181,E19019182,M19019182,E19019183,M19019183,E19019184,M19019184,E19019185,M19019185,E19019186,M19019186,E19019187,M19019187,E19019188,M19019188
262,53033028801,Tract 028801,63692,2961,33355,11267,64942,14808,116563,95709,69531,42057,109583,11593,,,117125,44549
263,53033028802,Tract 028802,54879,13777,43281,8536,64271,19851,64387,15752,,,49194,28632,120481,106744,,
264,53033028901,Tract 028901,72513,9789,42007,5811,90519,22752,106806,66884,,,,,,,,
265,53033028902,Tract 028902,51048,6378,49282,6447,66167,43376,62578,9306,32035,8856,47727,37497,,,,
266,53033029001,Tract 029001,72835,10077,44444,9396,92784,19011,82375,43269,95809,32983,,,,,,
267,53033029003,Tract 029003,51507,8813,33750,17976,43750,26904,79643,47691,72384,72092,51535,7713,,,,
268,53033029004,Tract 029004,38295,10527,24734,19581,60217,20954,33529,14034,33203,30637,60603,34118,,,,
269,53033029101,Tract 029101,81143,13884,58110,16669,105417,25262,140655,40794,44583,17346,108750,63548,120417,59406,,
270,53033029102,Tract 029102,92782,6894,36103,8728,92727,19330,100547,43701,107964,32020,93857,413,96875,91569,170307,34634
271,53033029203,Tract 029203,39835,17048,19059,5834,67132,14783,45000,29245,51442,31874,53945,27043,,,,
272,53033029204,Tract 029204,67423,6056,41811,10677,71287,13728,71026,20155,117083,56552,51985,49723,123304,39807,,
273,53033029205,Tract 029205,68186,6593,48690,6540,74738,18643,73040,29414,116179,28051,,,,,,
274,53033029206,Tract 029206,32554,4017,21463,4952,49079,17127,41645,22987,39545,32442,,,,,,
275,53033029303,Tract 029303,65799,6220,36750,12536,69333,16874,102169,22648,83922,12753,45625,37250,,,,
276,53033029304,Tract 029304,92531,7995,50335,18167,86983,14410,107000,46394,114940,17439,94954,29003,148977,115379,161333,48049
277,53033029305,Tract 029305,107153,17301,72500,47003,117768,35429,95179,50089,89583,65779,164152,34449,160069,42917,83333,44150
278,53033029306,Tract 029306,95300,14929,64107,22356,78333,7175,98281,16222,140577,41795,151810,2309,113167,53595,153281,70842
279,53033029307,Tract 029307,102566,14399,40590,11172,100875,29739,121600,31428,115833,46937,155714,52408,84808,23328,131131,23289
280,53033029403,Tract 029403,79158,6111,43947,27420,84145,13815,98958,16622,73922,44998,149250,86073,82647,29774,78950,56270
281,53033029405,Tract 029405,84271,12876,62891,21562,70250,8484,95250,25283,132750,15421,95000,23012,,,,
282,53033029406,Tract 029406,98889,12618,56500,13886,92083,19029,112679,49782,127446,30806,90750,52524,173405,101018,139375,81388
283,53033029407,Tract 029407,53056,8601,37250,12520,56750,6462,38859,16812,78015,22721,99773,29953,,,,
284,53033029408,Tract 029408,50817,13996,32969,12923,62198,19410,54135,35273,78611,27409,120605,117576,,,,
285,53033029502,Tract 029502,96917,14738,,,101182,23483,108859,18867,104904,46154,104083,46616,,,,
286,53033029503,Tract 029503,45804,10555,32906,3968,67348,16725,52083,43798,36772,16708,19460,10816,150036,89935,62105,57545
287,53033029504,Tract 029504,46697,7811,32596,19123,47031,23070,48388,10313,69167,55544,,,,,,
288,53033029601,Tract 029601,73610,5820,71071,15790,73710,14686,95481,47805,77778,36095,,,,,,
289,53033029602,Tract 029602,119423,12716,91731,28508,112067,14961,131417,17530,151406,43118,136563,110308,120982,90234,,
290,53033029700,Tract 029700,51362,9433,28608,11264,54306,13420,96875,57471,42411,23624,122165,66446,58707,19320,,
291,53033029801,Tract 029801,68762,3212,49280,7738,71383,13364,51053,34549,68517,13825,108417,104841,117083,45019,250001,
292,53033029802,Tract 029802,90133,13633,53676,27522,98417,24257,112574,34733,96406,20193,64421,20456,,,74808,42907
293,53033029901,Tract 029901,83264,8560,59444,7790,100938,22806,84125,25380,90313,26672,102941,52231,83536,13622,,
294,53033029902,Tract 029902,92632,11212,,,103289,24457,86111,55509,102644,15552,99500,69812,,,,
295,53033030003,Tract 030003,68449,9884,38272,19413,71625,9094,76850,24439,101641,32370,61656,36010,,,,
296,53033030004,Tract 030004,51689,5831,39311,16198,53253,10493,115958,43967,,,47982,12768,81723,62185,,
297,53033030005,Tract 030005,62036,12852,44219,16342,77563,7586,70000,20034,37432,18118,45703,22152,148224,71181,,
298,53033030006,Tract 030006,46488,13996,17000,5564,48349,5943,68500,13377,63750,11898,119792,27440,158750,124990,,
299,53033030100,Tract 030100,97372,13786,44643,18545,114091,14987,108072,29866,,,85957,34219,,,,
300,53033030201,Tract 030201,66250,16373,34766,4436,75839,11065,81364,24168,74728,31429,68750,36377,208068,128536,,
301,53033030202,Tract 030202,65302,9890,37328,20747,61333,21759,92083,40017,79961,32176,99917,94926,,,,
302,53033030304,Tract 030304,81054,13235,36900,9353,71054,8113,96750,24181,144135,48391,,,26528,13715,,
303,53033030305,Tract 030305,65483,12857,40833,22912,104800,13670,144792,97603,54318,23399,80767,45930,,,,
304,53033030306,Tract 030306,89736,18166,47719,8151,101875,11930,86032,5165,158125,65180,111500,61101,114732,59731,,
305,53033030308,Tract 030308,70550,11571,42459,10293,73078,15305,79444,38394,63631,45000,124917,45142,100852,49270,65197,20555
306,53033030309,Tract 030309,63158,5885,52266,11353,74322,19601,62043,7879,104423,80383,103594,80633,,,,
307,53033030310,Tract 030310,83611,7326,46316,18114,92500,18280,92361,37316,109191,32677,96750,41606,,,,
308,53033030311,Tract 030311,83442,6102,67734,37143,67188,26558,88750,32048,91607,28524,111157,13537,111855,64570,,
309,53033030312,Tract 030312,63897,13051,35192,16541,68052,25900,90586,26430,92589,39869,72917,26711,,,,
310,53033030313,Tract 030313,47297,9173,29870,6786,56890,4471,59679,4035,31607,14462,,,,,61483,1016
311,53033030314,Tract 030314,41359,6367,25382,12352,74412,41960,44297,19648,67102,24520,40625,8231,,,,
312,53033030401,Tract 030401,82955,19733,38925,19867,85729,26144,94972,23007,81114,73487,,,,,101514,28597
313,53033030403,Tract 030403,79394,6011,44448,17318,75720,12652,96398,15100,93000,27076,248341,32775,,,,
314,53033030404,Tract 030404,96489,14720,54306,19791,106250,29430,103813,17562,105583,52279,136250,31949,,,178077,148559
315,53033030501,Tract 030501,30756,5679,17821,4144,43705,3416,71875,14056,50417,48037,,,,,,
316,53033030503,Tract 030503,48019,11750,27794,15664,49673,17107,81425,7722,83233,37226,96250,78414,,,,
317,53033030504,Tract 030504,60558,6695,39236,12580,65600,13426,88750,15143,53333,44985,57400,24368,,,,
318,53033030600,Tract 030600,63516,6986,43636,12370,62500,10510,100208,59110,86364,56018,,,,,92628,80128
319,53033030700,Tract 030700,50191,8644,34096,5499,46776,11646,75815,18547,50648,38597,95486,65767,,,,
320,53033030801,Tract 030801,46496,9051,27132,14844,55123,11037,56195,10424,41771,20918,35250,32451,,,96667,84898
321,53033030802,Tract 030802,50926,6206,38086,13780,54872,21397,85833,20071,60000,56265,,,79250,27591,,
322,53033030901,Tract 030901,70234,11285,42500,9054,81319,19119,84375,32460,56917,41324,91389,67242,68365,41129,,
323,53033030902,Tract 030902,59924,7245,37222,11353,51829,11076,68098,16052,90588,38256,61125,34290,,,,
324,53033031000,Tract 031000,114792,20116,50469,24208,126607,18850,152054,17540,114028,52221,152589,41714,130972,15000,,
325,53033031100,Tract 031100,64802,5161,33304,6813,63879,2934,78352,33326,101932,19030,83950,3802,54362,33212,84375,26354
326,53033031202,Tract 031202,96667,22297,49464,23898,91538,19755,171779,32193,117679,89749,108775,73638,54693,49207,,
327,53033031204,Tract 031204,90781,18006,59797,10636,95461,25568,142981,31659,139309,92931,82857,78924,,,,
328,53033031205,Tract 031205,82917,12157,51985,43220,80900,17898,91971,54112,86393,55538,,,113558,59257,213074,119391
329,53033031206,Tract 031206,75649,11443,46522,7148,77800,14818,92917,56744,83008,18135,89375,34019,,,,
330,53033031301,Tract 031301,75476,14981,42292,20804,81042,15683,102961,54031,117917,61011,,,42656,21908,180875,42825
331,53033031302,Tract 031302,51559,5528,32981,6433,51806,22602,58966,49470,84219,43996,93313,34939,,,,
332,53033031400,Tract 031400,59833,11125,37667,8761,72833,24437,120147,74431,105875,32660,81307,22655,,,,
333,53033031501,Tract 031501,92279,17185,19543,18681,89476,28374,118652,1271,96991,25672,123906,48654,,,250001,
334,53033031502,Tract 031502,77593,15484,33681,12400,77014,25704,125139,54576,131667,38294,150962,42353,140000,26121,70156,7314
335,53033031601,Tract 031601,109764,3980,65104,39306,110375,13837,113750,23862,119702,32264,135625,31636,,,,
336,53033031603,Tract 031603,110139,20976,16667,13592,95179,46832,125208,25626,117386,34738,154018,17951,155000,102498,244219,45856
337,53033031604,Tract 031604,97041,3154,61818,33067,94583,20536,106250,34100,119348,22936,96912,15232,114750,11369,118802,38380
338,53033031605,Tract 031605,104883,7389,60625,46473,102361,17763,144917,34014,122024,80090,,,,,,
339,53033031703,Tract 031703,95313,10095,34375,9860,97833,8198,113583,30400,136544,59123,133917,85653,,,,
340,53033031704,Tract 031704,102639,10298,107750,43307,114583,27479,96429,19216,131458,23538,89583,59652,,,93333,47559
341,53033031705,Tract 031705,110551,17958,56823,17588,110833,23086,125795,39555,97125,56727,140455,63255,,,,
342,53033031706,Tract 031706,88791,10957,37134,12708,95902,16217,80546,18763,104786,15705,161563,89562,,,,
343,53033031800,Tract 031800,112050,11155,38594,22276,118661,38248,133581,7081,120859,20886,117813,56411,201053,68694,,
344,53033031903,Tract 031903,115493,14208,34491,25510,80179,24525,133879,6480,168000,51228,250001,,,,161000,90045
345,53033031904,Tract 031904,99722,13342,68452,19663,93920,21984,125726,45973,127500,59358,106510,23524,,,,
346,53033031906,Tract 031906,104330,6496,41429,3372,104947,7328,118750,40000,142969,56157,174250,82186,,,,
347,53033031907,Tract 031907,95658,15391,65174,14297,71250,19088,153278,25326,123045,18089,125109,52773,,,2499,
348,53033031908,Tract 031908,76978,8941,46891,13568,96442,13011,106477,46170,68393,30956,136838,41625,,,,
349,53033031909,Tract 031909,108256,12441,51429,11038,103125,25059,131417,81719,126667,22423,173333,82619,,,,
350,53033032002,Tract 032002,98274,11481,37656,12953,102386,9580,126154,75220,,,119625,55417,105682,15119,100769,39086
351,53033032003,Tract 032003,110063,6223,55833,36062,102375,23986,116271,10710,112940,9804,250001,,,,,
352,53033032005,Tract 032005,96250,7677,56335,18833,93735,5174,111886,8859,102266,79780,117250,19262,,,124167,59817
353,53033032006,Tract 032006,95408,7873,39408,6417,86705,16226,112266,35835,104482,52129,93750,48913,176818,101252,,
354,53033032007,Tract 032007,105268,23754,59479,23103,95363,19964,119125,32187,137171,28441,,,,,133854,85353
355,53033032008,Tract 032008,97688,7911,,,96250,13783,119545,45855,115673,38825,106111,35327,,,,
356,53033032010,Tract 032010,119466,14622,67917,53547,118955,22975,159688,58345,126912,46719,134875,43344,153071,86822,,
357,53033032011,Tract 032011,118548,15282,65282,32844,124907,45756,98633,15386,134760,7828,140833,15644,,,,
358,53033032102,Tract 032102,113651,12542,40556,33596,117857,13174,130172,39040,137813,31424,149688,113864,250001,,85806,14717
359,53033032103,Tract 032103,79073,8201,59688,25244,87230,19826,83271,12819,112411,59115,55539,42715,,,,
360,53033032104,Tract 032104,102806,15058,52356,13020,104917,24019,173125,44443,163854,9539,123750,123384,,,,
361,53033032203,Tract 032203,149743,7569,38906,9763,126250,30076,165069,52479,188309,31888,152188,123779,250001,,,
362,53033032207,Tract 032207,168068,29539,93125,30028,119844,19989,230761,45088,231346,22322,163875,94519,250001,,,
363,53033032208,Tract 032208,106971,13462,51924,11757,124500,16588,206250,190106,166289,61724,156953,52380,,,250001,
364,53033032210,Tract 032210,124252,8312,63750,30656,105139,37642,139917,27202,181957,31247,124531,76792,,,,
365,53033032211,Tract 032211,152059,12074,57279,28337,118264,18161,175605,12995,167500,16744,210729,50356,,,,
366,53033032212,Tract 032212,149385,15836,98049,37668,110833,33414,169534,39969,201750,45530,,,,,,
367,53033032213,Tract 032213,176389,31121,106010,19277,140750,31964,235301,39019,190729,34015,205469,33073,,,,
368,53033032214,Tract 032214,176375,13042,74602,49440,162617,13620,178625,17787,204000,42322,148289,11327,246023,75602,202727,128363
369,53033032215,Tract 032215,217574,17143,,,205720,48901,234750,68424,248333,37496,215469,35798,212917,17413,,
370,53033032307,Tract 032307,127434,21766,44018,12080,111994,23120,169038,41273,243482,79782,197202,105661,,,250001,
371,53033032309,Tract 032309,118770,9419,83547,28049,125250,20692,141472,22999,160313,32606,208250,122115,,,,
372,53033032311,Tract 032311,133603,36124,36319,34344,113472,11803,157647,52255,206667,53118,89792,73831,161285,20885,,
373,53033032313,Tract 032313,119250,8291,52083,28579,90787,8832,139464,30731,155727,30311,179063,82581,,,,
374,53033032315,Tract 032315,149688,17350,82692,22905,148333,23349,160556,13674,235625,69396,250001,,,,238646,61927
375,53033032316,Tract 032316,166591,29222,101250,31987,133864,67647,190625,42228,230521,16733,220054,110972,127308,89697,,
376,53033032317,Tract 032317,170063,18953,74826,28397,156615,61234,173304,19968,209201,25695,233750,113610,177857,78796,,
377,53033032318,Tract 032318,180761,21924,87969,42426,155500,28966,201094,55701,190324,18364,235809,87461,249643,173989,,
378,53033032319,Tract 032319,72569,8407,40726,16820,83224,18305,109286,45599,166429,38131,153775,25404,,,,
379,53033032320,Tract 032320,161806,35492,38750,18537,123542,15574,216953,50761,195000,64277,250001,,250001,,,
380,53033032321,Tract 032321,210341,19381,75208,69895,152604,59378,196691,30521,250001,,250001,,210114,51750,,
381,53033032322,Tract 032322,176607,19358,92731,64192,148750,54203,162500,35812,215804,14357,250001,,,,,
382,53033032323,Tract 032323,147525,14087,65530,29547,121696,36548,180556,30412,159375,54210,,,117589,35819,,
383,53033032324,Tract 032324,106855,14786,63824,19999,105000,42808,143667,34944,144464,83458,160313,77222,250001,,,
384,53033032325,Tract 032325,106197,7457,90441,42596,82848,37950,145263,26776,202765,70023,106985,87723,,,,
385,53033032326,Tract 032326,165000,38576,37298,12242,182813,63939,238125,32932,250001,,154318,55609,208333,163470,,
386,53033032327,Tract 032327,108080,9734,59808,34698,111630,8858,109167,32967,244167,88572,250001,,,,,
387,53033032328,Tract 032328,165425,21979,35714,19717,121000,24959,180156,56329,250001,,194583,69667,,,,
388,53033032329,Tract 032329,146596,11398,39276,18678,134011,4541,158676,75287,215083,20499,222422,18482,121429,76123,,
389,53033032401,Tract 032401,119813,15276,35991,12113,131071,49533,153313,59465,167578,104363,126900,23881,,,,
390,53033032402,Tract 032402,142738,27039,40083,39277,123162,35909,143417,86449,172371,27212,145809,63745,164861,146828,,
391,53033032500,Tract 032500,104583,5392,32311,7150,105366,5676,113295,24939,157692,22638,225625,189488,158750,111946,,
392,53033032601,Tract 032601,104776,14983,49297,20653,112857,22052,138229,71982,109250,26521,,,92303,92252,,
393,53033032602,Tract 032602,150943,11294,53000,13305,144044,17652,168103,11485,158598,24311,162794,30828,168264,48348,,
394,53033032702,Tract 032702,107044,12086,69894,27738,122292,16862,107930,7975,119464,61204,250001,,,,,
395,53033032703,Tract 032703,100260,18174,38036,20305,79500,11919,127857,28780,144875,45632,205833,19749,,,143000,105907
396,53033032704,Tract 032704,102348,9727,17045,5226,110970,9421,102321,27677,153661,43626,180799,8272,,,,
397,53033032800,Tract 032800,92377,12070,42891,12224,92157,17784,87366,79972,188250,49280,121500,26117,,,,
398,53033990100,Tract 990100,,,,,,,,,,,,,,,,
