OBJECTID,GEO_ID_TRT,TRACT_LBL,E19019181,M19019181,E19019182,M19019182,E19019183,M19019183,E19019184,M19019184,E19019185,M19019185,E19019186,M19019186,E19019187,M19019187,E19019188,M19019188
119,53033011002,Tract 011002,53300,10059,19825,19512,67083,31491,87098,17538,27206,22039,,,68611,34782,31384,13729
120,53033011101,Tract 011101,53295,3717,26420,17629,50705,8477,85820,7818,67143,55910,,,,,94837,43198
121,53033011102,Tract 011102,84491,16267,44211,17314,99750,39693,87857,37326,,,76424,10014,,,250001,
122,53033011200,Tract 011200,48864,13897,20172,10769,57065,5750,,,55905,18334,,,,,,
123,53033011300,Tract 011300,56629,9391,31141,3109,90417,25661,88107,26880,66496,17970,90809,30100,,,,
124,53033011401,Tract 011401,68333,7389,57639,14498,76100,16920,49091,41321,71103,70802,120139,61837,93462,28726,,
125,53033011402,Tract 011402,50285,5018,25919,7010,73281,17962,74338,28165,46042,23367,73152,30903,,,,
126,53033011500,Tract 011500,99706,21283,47381,5830,111406,10513,141696,46439,139412,19286,,,205370,141657,,
127,53033011600,Tract 011600,107201,12735,60469,12561,111114,8259,168684,23052,208750,84453,250001,,,,,
128,53033011700,Tract 011700,83786,5820,27165,10235,81985,6446,82885,5327,86075,11100,127978,1258,130313,78818,149808,55702
129,53033011800,Tract 011800,58827,10195,30987,16806,84459,24869,60575,17780,98036,20929,43469,42117,65577,57664,,
130,53033011900,Tract 011900,93862,13664,49250,16215,103289,20820,101500,41414,177250,52313,,,94830,87668,250001,
131,53033012000,Tract 012000,104474,12894,51053,11910,125380,21370,190606,25170,187692,90038,80982,55274,,,,
132,53033012100,Tract 012100,116836,10695,60089,16883,140625,25397,202750,122696,190804,80386,123333,43167,,,,
133,53033020100,Tract 020100,115058,13911,38409,13010,109234,15232,145446,24732,190139,83865,,,250001,,,
134,53033020200,Tract 020200,85398,14440,26451,7841,86944,20341,130368,60538,165536,61658,,,190714,102183,,
135,53033020300,Tract 020300,66734,8335,31591,9317,78934,11144,89773,38839,83516,22302,158077,71810,146875,10429,,
