OBJECTID,GEO_ID_TRT,TRACT_LBL,E01003097,M01003097
283,53033029407,Tract 029407,4639,377
284,53033029408,Tract 029408,3993,366
285,53033029502,Tract 029502,7516,598
286,53033029503,Tract 029503,8828,686
287,53033029504,Tract 029504,6103,717
288,53033029601,Tract 029601,7134,531
289,53033029602,Tract 029602,6235,418
290,53033029700,Tract 029700,8219,998
291,53033029801,Tract 029801,9944,767
292,53033029802,Tract 029802,9213,861
293,53033029901,Tract 029901,4725,342
294,53033029902,Tract 029902,4226,296
295,53033030003,Tract 030003,6309,629
296,53033030004,Tract 030004,8736,855
297,53033030005,Tract 030005,5923,340
298,53033030006,Tract 030006,4000,279
299,53033030100,Tract 030100,7711,513
300,53033030201,Tract 030201,5391,642
301,53033030202,Tract 030202,6970,441
302,53033030304,Tract 030304,3868,280
303,53033030305,Tract 030305,5273,416
304,53033030306,Tract 030306,5527,465
305,53033030308,Tract 030308,7029,474
306,53033030309,Tract 030309,5783,479
307,53033030310,Tract 030310,6298,428
308,53033030311,Tract 030311,5311,364
309,53033030312,Tract 030312,4777,305
310,53033030313,Tract 030313,4511,543
311,53033030314,Tract 030314,4438,327
312,53033030401,Tract 030401,9689,716
313,53033030403,Tract 030403,4472,228
314,53033030404,Tract 030404,4961,302
315,53033030501,Tract 030501,1907,169
316,53033030503,Tract 030503,5802,566
317,53033030504,Tract 030504,4690,357
318,53033030600,Tract 030600,5592,657
319,53033030700,Tract 030700,4101,374
320,53033030801,Tract 030801,7091,634
321,53033030802,Tract 030802,3588,410
322,53033030901,Tract 030901,3583,292
323,53033030902,Tract 030902,6455,266
324,53033031000,Tract 031000,4247,285
325,53033031100,Tract 031100,7701,569
326,53033031202,Tract 031202,6310,526
327,53033031204,Tract 031204,5976,457
328,53033031205,Tract 031205,7252,490
329,53033031206,Tract 031206,5475,440
330,53033031301,Tract 031301,2670,265
331,53033031302,Tract 031302,4253,257
332,53033031400,Tract 031400,5943,343
333,53033031501,Tract 031501,4083,415
334,53033031502,Tract 031502,4219,204
335,53033031601,Tract 031601,5573,331
336,53033031603,Tract 031603,6515,354
337,53033031604,Tract 031604,5777,277
338,53033031605,Tract 031605,4200,435
339,53033031703,Tract 031703,6829,430
340,53033031704,Tract 031704,5728,299
341,53033031705,Tract 031705,4271,266
342,53033031706,Tract 031706,7884,490
343,53033031800,Tract 031800,4719,320
344,53033031903,Tract 031903,6801,415
345,53033031904,Tract 031904,3417,291
346,53033031906,Tract 031906,3958,281
347,53033031907,Tract 031907,8159,513
348,53033031908,Tract 031908,4375,466
349,53033031909,Tract 031909,3080,193
350,53033032002,Tract 032002,3191,259
351,53033032003,Tract 032003,5547,425
352,53033032005,Tract 032005,6877,542
353,53033032006,Tract 032006,5612,312
354,53033032007,Tract 032007,3385,297
355,53033032008,Tract 032008,4658,248
356,53033032010,Tract 032010,6071,358
357,53033032011,Tract 032011,4435,208
358,53033032102,Tract 032102,5150,498
359,53033032103,Tract 032103,5397,552
360,53033032104,Tract 032104,6172,579
361,53033032203,Tract 032203,8032,419
362,53033032207,Tract 032207,3930,320
363,53033032208,Tract 032208,9764,588
364,53033032210,Tract 032210,14540,697
365,53033032211,Tract 032211,5124,227
366,53033032212,Tract 032212,8337,563
367,53033032213,Tract 032213,4337,197
368,53033032214,Tract 032214,6706,330
369,53033032215,Tract 032215,5034,270
370,53033032307,Tract 032307,6093,430
371,53033032309,Tract 032309,8249,457
372,53033032311,Tract 032311,6730,431
373,53033032313,Tract 032313,6551,365
374,53033032315,Tract 032315,5280,284
375,53033032316,Tract 032316,5654,279
376,53033032317,Tract 032317,6402,310
377,53033032318,Tract 032318,6712,276
378,53033032319,Tract 032319,5941,322
379,53033032320,Tract 032320,4535,181
380,53033032321,Tract 032321,6365,275
381,53033032322,Tract 032322,3560,165
382,53033032323,Tract 032323,5888,374
383,53033032324,Tract 032324,5292,417
384,53033032325,Tract 032325,5805,527
385,53033032326,Tract 032326,3960,233
386,53033032327,Tract 032327,4201,216
387,53033032328,Tract 032328,3490,206
388,53033032329,Tract 032329,9101,514
389,53033032401,Tract 032401,6132,602
390,53033032402,Tract 032402,6847,522
391,53033032500,Tract 032500,5381,387
392,53033032601,Tract 032601,3219,363
393,53033032602,Tract 032602,14018,494
394,53033032702,Tract 032702,6720,456
395,53033032703,Tract 032703,2285,206
396,53033032704,Tract 032704,7051,360
397,53033032800,Tract 032800,2347,219
398,53033990100,Tract 990100,0,12
